pattern	prompt	level	topics	count	collocations
"adjective + noun"	"absolute"	"C1"	"feelings"	"4"	"absolute agony; absolute despair; absolute certainty; absolute necessity"
"adjective + noun"	"active"	"B2"	"health / work"	"4"	"active ingredient; active role; active lifestyle; active participation"
"adjective + noun"	"alternative"	"B2"	"environment"	"4"	"alternative energy; alternative medicine; alternative route; alternative strategy"
"adjective + noun"	"artificial"	"B1"	"technology"	"4"	"artificial limb; artificial intelligence; artificial light; artificial sweetener"
"adjective + noun"	"bad"	"B1"	"health"	"5"	"bad breath; bad diet; bad habit; bad mood; bad temper"
"adjective + noun"	"balanced"	"B1"	"health / work"	"4"	"balanced diet; balanced budget; balanced view; balanced perspective"
"adjective + noun"	"bare"	"B2"	"daily-life"	"4"	"bare essentials; bare minimum; bare feet; bare walls"
"adjective + noun"	"basic"	"B1"	"education"	"4"	"basic right; basic skill; basic need; basic principle"
"adjective + noun"	"best"	"B1"	"people"	"4"	"best friends; best interests; best effort; best scenario"
"adjective + noun"	"big"	"B1"	"daily-life"	"4"	"big decision; big disappointment; big mistake; big surprise"
"adjective + noun"	"blind"	"C1"	"people"	"4"	"blind faith; blind loyalty; blind obedience; blind spot"
"adjective + noun"	"brief"	"B1"	"work"	"4"	"brief chat; brief meeting; brief description; brief visit"
"adjective + noun"	"bright"	"B1"	"daily-life"	"4"	"bright future; bright idea; bright color; bright smile"
"adjective + noun"	"casual"	"B1"	"people"	"3"	"casual clothes; casual relationship; casual acquaintance"
"adjective + noun"	"clean"	"B2"	"environment"	"6"	"clean energy; clean record; clean break; clean conscience; clean power; clean air"
"adjective + noun"	"clear"	"B1"	"education"	"4"	"clear message; clear understanding; clear evidence; clear view"
"adjective + noun"	"common"	"B1"	"education"	"4"	"common knowledge; common language; common sense; common goal"
"adjective + noun"	"complete"	"B2"	"daily-life"	"4"	"complete agreement; complete idiot; complete surprise; complete silence"
"adjective + noun"	"dead"	"B2"	"daily-life"	"4"	"dead end; dead body; dead silence; dead battery"
"adjective + noun"	"deadly"	"B2"	"health"	"4"	"deadly weapon; deadly poison; deadly silence; deadly disease"
"adjective + noun"	"early"	"B1"	"work"	"4"	"early days; early riser; early start; early retirement"
"adjective + noun"	"easy"	"B1"	"shopping"	"4"	"easy answer; easy money; easy target; easy victory"
"adjective + noun"	"empty"	"B2"	"daily-life"	"4"	"empty promises; empty words; empty threat; empty stomach"
"adjective + noun"	"essential"	"B2"	"work"	"4"	"essential services; essential components; essential ingredients; essential skills"
"adjective + noun"	"ethical"	"C1"	"politics"	"4"	"ethical standards; ethical investment; ethical dilemma; ethical issues"
"adjective + noun"	"ethnic"	"C1"	"politics"	"4"	"ethnic minority; ethnic tensions; ethnic diversity; ethnic food"
"adjective + noun"	"express"	"B1"	"travel / work"	"4"	"express bus; express service; express wish; express purpose"
"adjective + noun"	"false"	"B1"	"people"	"4"	"false impression; false teeth; false alarm; false identity"
"adjective + noun"	"fatal"	"C1"	"daily-life"	"4"	"fatal accident; fatal mistake; fatal flaw; fatal blow"
"adjective + noun"	"flat"	"B1"	"travel"	"4"	"flat battery; flat tyre; flat rate; flat surface"
"adjective + noun"	"foreign"	"B2"	"politics"	"4"	"foreign policy; foreign language; foreign exchange; foreign student"
"adjective + noun"	"free"	"B1"	"politics"	"4"	"free speech; free spirit; free time; free sample"
"adjective + noun"	"front"	"B1"	"daily-life"	"4"	"front page; front door; front seat; front row"
"adjective + noun"	"good"	"B1"	"daily-life"	"4"	"good cause; good chance; good company; good deal"
"adjective + noun"	"great"	"B1"	"work"	"4"	"great detail; great skill; great wealth; great admiration"
"adjective + noun"	"guilty"	"B2"	"feelings"	"4"	"guilty conscience; guilty party; guilty verdict; guilty pleasure"
"adjective + noun"	"hard"	"B1"	"work"	"4"	"hard work; hard evidence; hard day; hard exam"
"adjective + noun"	"healthy"	"B1"	"health"	"4"	"healthy diet; healthy lifestyle; healthy appetite; healthy competition"
"adjective + noun"	"high"	"B1"	"work"	"4"	"high quality; high standard; high level; high pressure"
"adjective + noun"	"icy"	"B2"	"weather"	"4"	"icy wind; icy stare; icy patch; icy water"
"adjective + noun"	"ill"	"B2"	"health"	"4"	"ill health; ill effects; ill feeling; ill temper"
"adjective + noun"	"immediate"	"B1"	"daily-life"	"4"	"immediate action; immediate family; immediate future; immediate effect"
"adjective + noun"	"inside"	"B2"	"work"	"4"	"inside information; inside lane; inside job; inside knowledge"
"adjective + noun"	"intense"	"C1"	"education"	"4"	"intense pressure; intense heat; intense debate; intense interest"
"adjective + noun"	"internal"	"B2"	"health"	"4"	"internal injury; internal organ; internal affairs; internal clock"
"adjective + noun"	"irreparable"	"C1"	"daily-life"	"4"	"irreparable damage; irreparable harm; irreparable loss; irreparable rift"
"adjective + noun"	"joint"	"B2"	"work"	"4"	"joint account; joint effort; joint venture; joint owners"
"adjective + noun"	"key"	"B2"	"work"	"4"	"key issue; key role; key element; key player"
"adjective + noun"	"large"	"B1"	"shopping"	"4"	"large amount; large scale; large number; large quantity"
"adjective + noun"	"late"	"B1"	"travel"	"4"	"late night; late departure; late arrival; late fee"
"adjective + noun"	"legal"	"B2"	"politics"	"4"	"legal advice; legal action; legal system; legal requirement"
"adjective + noun"	"live"	"B1"	"daily-life"	"4"	"live music; live broadcast; live performance; live show"
"adjective + noun"	"long"	"B1"	"daily-life"	"4"	"long time; long distance; long term; long run"
"adjective + noun"	"maiden"	"C1"	"travel / people"	"4"	"maiden voyage; maiden flight; maiden speech; maiden name"
"adjective + noun"	"main"	"B1"	"daily-life"	"4"	"main course; main road; main thing; main reason"
"adjective + noun"	"major"	"B2"	"work"	"4"	"major problem; major issue; major role; major concern"
"adjective + noun"	"medical"	"B1"	"health"	"4"	"medical history; medical condition; medical record; medical treatment"
"adjective + noun"	"mental"	"B2"	"health"	"4"	"mental illness; mental health; mental ability; mental state"
"adjective + noun"	"mixed"	"B2"	"feelings"	"4"	"mixed feelings; mixed message; mixed results; mixed reaction"
"adjective + noun"	"moral"	"C1"	"politics"	"4"	"moral obligation; moral duty; moral support; moral standard"
"adjective + noun"	"native"	"B2"	"people"	"4"	"native speaker; native country; native land; native tongue"
"adjective + noun"	"natural"	"B1"	"environment"	"4"	"natural disaster; natural resources; natural causes; natural ability"
"adjective + noun"	"negative"	"B1"	"people"	"4"	"negative attitude; negative impact; negative reaction; negative effect"
"adjective + noun"	"net"	"B2"	"work"	"4"	"net profit; net income; net worth; net result"
